source,target,weight
Alexander Egyed,Stefan Fischer,3
Alexander Egyed,Enrique Alba,3
Alexander Egyed,Francisco Chicano,3
Alexander Egyed,Javier Ferrer,3
Alexander Egyed,Evelyn Nicole Haslinger,2
Rudolf Ramler,Stefan Fischer,2
Myra B. Cohen,Shin Yoo,2
Myra B. Cohen,Adam Porter,6
Myra B. Cohen,Emine Dumlu,2
Myra B. Cohen,Sandro Fouche,3
Myra B. Cohen,Wolfgang Grieskamp,2
Myra B. Cohen,Brady J. Garvin,3
Myra B. Cohen,Atif M. Memon,3
Myra B. Cohen,Xun Yuan,2
Myra B. Cohen,Gregg Rothermel,2
Myra B. Cohen,Jiangfan Shi,4
Myra B. Cohen,Peter B. Gibbons,2
Myra B. Cohen,Warwick B. Mugridge,2
Adam Porter,Jeffrey S. Foster,3
Adam Porter,Charles Song,2
Adam Porter,Emine Dumlu,2
Adam Porter,Sandro Fouche,3
Jeffrey S. Foster,Charles Song,2
Catherine Oriat,Lydie du Bousquet,2
Catherine Oriat,Mickael Delahaye,2
Lydie du Bousquet,Mickael Delahaye,2
Lydie du Bousquet,Taha Triki,2
Lydie du Bousquet,Yves Ledru,7
Lydie du Bousquet,Frederic Dadeau,5
Christopher Henard,Mike Papadakis,6
Christopher Henard,Jacques Klein,3
Mike Papadakis,Jacques Klein,3
Arnaud Gotlieb,Aymeric Hervieu,4
Arnaud Gotlieb,Dusica Marijan,2
Aymeric Hervieu,Dusica Marijan,2
Laleh Sh. Ghandehari,Mehra N. Borazjany,2
Abel Carrión,Nelson Rangel-Valdez,2
Abel Carrión,Vicente Hernández,2
Nelson Rangel-Valdez,Vicente Hernández,3
Nelson Rangel-Valdez,Loreto Gonzalez-Hernandez,5
Vicente Hernández,Loreto Gonzalez-Hernandez,2
Yansheng Lu,Rongcun Wang,2
Yansheng Lu,Xiaodong Xie,2
Goro Hatayama,Ngoc Thi Bich Do,2
Goro Hatayama,Shinya Sakuragi,2
Ngoc Thi Bich Do,Shinya Sakuragi,2
Ioannis Kapsalis,Severin Winkler,2
Itai Segall,Aviad Zlotnick,5
Enrique Alba,Francisco Chicano,5
Enrique Alba,Javier Ferrer,5
Enrique Alba,Peter M. Kruse,2
Francisco Chicano,Javier Ferrer,5
Francisco Chicano,Peter M. Kruse,2
Javier Ferrer,Peter M. Kruse,2
Peter M. Kruse,Alessandra Bagnato,3
Peter M. Kruse,Etienne Brosse,3
Peter M. Kruse,Nelly Condori-Fernandez,3
Peter M. Kruse,Tanja E.J. Vos,3
Peter M. Kruse,Nelly Condori-Fernández,2
Peter M. Kruse,Tanja E. J. Vos,2
Peter M. Kruse,Joachim Wegener,2
Tohru Kikuno,Toru Nanba,2
Rozmie R. Othman,Mohammed I. Younis,2
Alessandra Bagnato,Etienne Brosse,3
Alessandra Bagnato,Nelly Condori-Fernandez,2
Alessandra Bagnato,Tanja E.J. Vos,2
Etienne Brosse,Nelly Condori-Fernandez,2
Etienne Brosse,Tanja E.J. Vos,2
Nelly Condori-Fernandez,Tanja E.J. Vos,3
Tanja E.J. Vos,Paolo Tonella,2
Nelly Condori-Fernández,Tanja E. J. Vos,2
Qingyang Li,Xiaoying Bai,2
Baowen Xu,Lei Xu,3
Baowen Xu,Liang Shi,5
Baowen Xu,William C. Chu,2
Cu D. Nguyen,Paolo Tonella,2
Goran Konjevod,Peyman Nayeri,2
Sebastian Oster,Florian Markert,2
Siddhartha R. Dalal,Aridaman Jain,3
Siddhartha R. Dalal,C.M. Lott,3
Siddhartha R. Dalal,Gardner C. Patton,4
Siddhartha R. Dalal,J.M. Leaton,2
Siddhartha R. Dalal,N. Karunanithi,2
Siddhartha R. Dalal,David M. Cohen,3
Taha Triki,Yves Ledru,2
Yves Ledru,Frederic Dadeau,5
Mohammad F.J. Klaib,Noraziah Ahmad,4
Mohammad F.J. Klaib,Sangeetha Muthuraman,4
Mohammad F.J. Klaib,Che Y. Yaakub,3
Mohammad F.J. Klaib,Sabira Khatun,3
Mohammad F.J. Klaib,Mohammed I. Younis,3
Mohammad F.J. Klaib,Nor Ashidi M. Isa,2
Mohammad F.J. Klaib,Rusli Abdullah,2
Mohammad F.J. Klaib,Roslina Sidek,3
Noraziah Ahmad,Sangeetha Muthuraman,4
Noraziah Ahmad,Roslina Sidek,3
Sangeetha Muthuraman,Roslina Sidek,3
Ajay Kattepur,Albert Benveniste,2
Ajay Kattepur,Claude Jard,2
Albert Benveniste,Claude Jard,2
Che Y. Yaakub,Sabira Khatun,3
Mohammed I. Younis,Nor Ashidi M. Isa,4
Mohammed I. Younis,Rusli Abdullah,2
Nor Ashidi M. Isa,Rusli Abdullah,2
Atif M. Memon,Xun Yuan,2
Aridaman Jain,C.M. Lott,3
Aridaman Jain,J.M. Leaton,2
Aridaman Jain,N. Karunanithi,2
C.M. Lott,J.M. Leaton,2
C.M. Lott,N. Karunanithi,2
Peter B. Gibbons,Warwick B. Mugridge,2
Gardner C. Patton,David M. Cohen,3
J.M. Leaton,N. Karunanithi,2
